자치구,택시운송업-사업체수,택시운송업-종사자수,한식 일반 음식점업-사업체수,한식 일반 음식점업-종사자수,용달 화물자동차 운송업-사업체수,용달 화물자동차 운송업-종사자수,부동산 중개 및 대리업-사업체수,부동산 중개 및 대리업-종사자수,두발미용업-사업체수,두발미용업-종사자수,커피전문점-사업체수,커피전문점-종사자수,남녀용 겉옷 및 셔츠 도매업-사업체수,남녀용 겉옷 및 셔츠 도매업-종사자수,기타주점업-사업체수,기타주점업-종사자수,일반 교과 학원-사업체수,일반 교과 학원-종사자수,한식 육류요리 전문점-사업체수,한식 육류요리 전문점-종사자수
강남구,3592,5034,4830,22972,890,974,4674,13016,2482,12510,3248,14546,768,16640,1426,5056,2852,18040,1654,10016
강동구,6590,9960,2202,6776,3056,3132,2376,3980,1800,2858,1092,3320,118,2866,1178,2698,1240,4208,856,2918
강북구,3426,5178,1930,5326,2048,2060,1178,1734,1346,1994,716,2190,80,188,1160,2550,440,1480,724,2352
강서구,7470,13844,2650,9168,3598,3724,2622,4704,2030,3502,1380,5060,156,1400,1588,3418,1344,4694,1162,4548
관악구,2572,4054,2452,7378,3158,3200,2020,4272,1790,3208,1162,4098,62,380,1316,3344,708,2460,844,3256
광진구,2238,3488,1926,5722,1936,1970,1742,2626,1492,2674,1180,3774,178,1374,1266,3154,826,3292,934,3356
구로구,5514,7634,2096,6430,2636,2702,1578,2426,1458,2268,842,2768,228,1846,1152,2330,672,2222,856,2992
금천구,2200,5196,1734,5238,1870,1994,1342,2762,976,1430,766,2430,400,5150,782,1370,306,974,600,2084
노원구,8228,12148,1732,5300,3460,3472,1428,2106,1564,2706,1070,3496,60,246,710,1688,1470,6562,856,3114
도봉구,5986,11566,1344,4018,3142,3148,1030,1588,1200,1694,576,1674,44,86,516,954,702,2324,604,1886
동대문구,3092,4186,2472,7132,2862,2912,1684,2416,1222,1782,988,2944,422,1952,998,2164,604,1968,884,3018
동작구,2066,2230,1530,4644,1660,1688,1766,2966,1302,2210,972,3256,40,398,878,1910,814,2926,662,2354
마포구,2330,3676,2822,9410,1540,1658,2298,3806,1792,4084,2738,8950,192,2418,2022,5118,938,3710,1402,5856
서대문구,3494,5354,1726,5388,1604,1616,1334,1912,1196,2370,740,2646,44,136,994,2254,722,2536,622,2176
서초구,834,1806,3128,13424,772,822,2914,5516,1352,3664,2024,7794,314,3126,892,2510,1624,7624,890,4676
성동구,2400,5054,1912,5570,2144,2322,1602,2906,978,1702,1094,3718,298,3144,570,1242,516,2988,800,3090
성북구,3670,5286,1946,5644,2624,2670,1692,2350,1478,2490,914,2768,170,908,1024,2060,928,3510,730,2668
송파구,5276,9700,3150,11520,3820,3862,3354,6380,2274,4656,1950,6744,294,5660,1256,2938,1752,8320,1278,5562
양천구,5470,9884,1662,5600,2572,2586,1844,2728,1676,2856,804,2750,50,104,830,1702,2568,11608,562,2222
영등포구,2698,4794,3476,12952,2562,2858,1972,3132,1346,2522,1676,6590,152,2440,1272,2978,576,2164,988,4302
용산구,832,1046,1714,5974,910,932,1582,2428,732,1554,1268,4152,108,634,974,2664,208,1146,600,2368
은평구,6216,8860,1762,5170,2680,2698,2268,3228,1894,2886,914,2592,52,148,968,1850,1102,3586,952,3278
종로구,430,430,3096,11824,1236,1292,1098,1778,522,960,1896,7226,800,1924,1074,2826,220,764,874,3964
중구,460,470,3176,12828,600,666,1152,2304,678,1632,1738,7084,21620,48496,762,1964,114,350,886,4242
중랑구,7268,12524,1982,4958,3608,3754,1476,2208,1580,2216,762,2074,126,568,1070,2000,576,2090,998,3008
