도착 시군구 코드,평균 이동 시간(분),이동인구(합),총 이동 시간(분),총이동인구(합)
11010,21.34959861626437,44.23597803912978,9356120,19385709.6
11020,21.012461586746777,44.516072285783316,9306020,19715322.61
11030,21.36478606056348,36.903882501430274,8514380,14707082.87
11040,21.740323787996655,42.685595764042795,8887140,17449273.95
11050,22.474283212956884,46.76254830691305,8625540,17947278.99
11060,21.673451271009796,39.94270838135689,8838130,16288077.28
11070,23.412788520234386,41.01275310305779,7939300,13907465.59
11080,22.16028334147533,45.81627344894969,9072420,18757182.35
11090,23.81127435721845,39.12847008653427,7649610,12570412.3
11100,24.48997595068315,37.88228349488733,6995880,10821566.75
11110,24.02951468371579,55.18459000987929,8975240,20611941.03
11120,24.61157830591103,50.26042751371115,8077520,16495472.31
11130,22.02681605528697,42.416672451746194,8465390,16301660.39
11140,22.044200819101217,54.88490629556367,9494790,23639807.3
11150,22.793733842746878,46.544142495776335,7379950,15069643.56
11160,25.124068017962564,58.44728195768413,9388010,21839762.06
11170,22.933747752583628,41.73938238256438,7946750,14463071.65
11180,23.998943774873158,30.597875252268057,6362000,8111343.74
11190,21.615226871267787,56.41463445447347,9581360,25006858.6
11200,21.867593172911135,40.991814514975545,8408680,15762459.46
11210,23.37792784749742,49.90403573246489,8772170,18725641.04
11220,22.831643236024252,64.13862402193614,10291660,28911318.58
11230,23.094564552376685,90.22663635868018,11437560,44684651.43
11240,25.429707440880627,83.49358069162538,10610520,34837613.05
11250,25.67008394508402,64.24968662937803,8430800,21101460.33
