연번,자치구,역명(호선),역수
1,강남구,"삼성(2), 선릉(2), 역삼(2), 강남(2), 압구정(3), 신사(3), 매봉(3), 도곡(3), 대치(3), 학여울(3), 대청(3), 일원(3), 수서(3), 청담(7), 강남구청(7), 학동(7), 논현(7), 언주(9), 선정릉(9), 삼성중앙(9), 봉은사(9)",21
2,강동구,"천호(5), 강동(5), 길동(5), 굽은다리(5), 명일(5), 고덕(5), 상일동(5), 둔촌동(5), 강일(5), 암사(5), 천호(8), 강동구청(8), 둔촌오륜(9), 중앙보훈병원(9)",14
3,강북구,"수유(4), 미아(4), 미아사거리(4)",3
4,강서구,"방화(5), 개화산(5), 김포공항(5), 송정(5), 마곡(5), 발산(5), 우장산(5), 화곡(5), 까치산(5)",9
5,관악구,"낙성대(2), 서울대입구(2), 봉천(2), 신림(2)",4
6,광진구,"건대입구(2), 구의(2), 강변(2), 군자(5), 아차산(5), 광나루(5), 중곡(7), 군자(7), 어린이대공원(7), 건대입구(7), 뚝섬유원지(7)",11
7,구로구,"구로디지털단지(2), 대림(2), 신도림(2), 도림천(2), 남구로(7), 천왕(7), 온수(7)",7
8,금천구,가산디지털단지(7),1
9,노원구,"당고개(4), 상계(4), 노원(4), 석계(6), 태릉입구(6), 화랑대(6), 수락산(7), 마들(7), 노원(7), 중계(7), 하계(7), 공릉(7), 태릉입구(7)",13
10,도봉구,"창동(4), 쌍문(4), 도봉산(7)",3
11,동대문구,"신설동(1), 제기동(1), 청량리(1), 용두(2), 신설동(2), 장한평(5)",6
12,동작구,"사당(2), 신대방(2), 동작(4), 이수(4), 사당(4), 이수(7), 남성(7), 숭실대입구(7), 상도(7), 장승배기(7), 신대방삼거리(7), 보라매(7)",12
13,마포구,"합정(2), 홍대입구(2), 신촌(2), 이대(2), 아현(2), 마포(5), 공덕(5), 애오개(5), 월드컵경기장(6), 마포구청(6), 망원(6), 합정(6), 상수(6), 광흥창(6), 대흥(6), 공덕(6)",16
14,서대문구,"충정로(2), 홍제(3), 무악재(3), 독립문(3), 충정로(5)",5
15,서초구,"교대(2), 서초(2), 방배(2), 잠원(3), 고속터미널(3), 교대(3), 남부터미널(3), 양재(3), 남태령(4), 반포(7), 고속터미널(7), 내방(7)",12
16,성동구,"상왕십리(2), 왕십리(2), 한양대(2), 뚝섬(2), 성수(2), 용답(2), 신답(2), 금호(3), 옥수(3), 신금호(5), 행당(5), 왕십리(5), 마장(5), 답십리(5)",14
17,성북구,"길음(4), 성신여대입구(4), 한성대입구(4), 보문(6), 안암(6), 고려대(6), 월곡(6), 상월곡(6), 돌곶이(6)",9
18,송파구,"잠실나루(2), 잠실(2), 잠실새내(2), 종합운동장(2), 가락시장(3), 경찰병원(3), 오금(3), 올림픽공원(5), 방이(5), 오금(5), 개롱(5), 거여(5), 마천(5), 몽촌토성(8), 잠실(8), 석촌(8), 송파(8), 가락시장(8), 문정(8), 장지(8), 복정(8), 종합운동장(9), 삼전(9), 석촌고분(9), 석촌(9), 송파나루(9), 한성백제(9), 올림픽공원(9)",28
19,양천구,"양천구청(2), 신정네거리(2), 신정(5), 목동(5), 오목교(5)",5
20,영등포구,"문래(2), 영등포구청(2), 당산(2), 양평(5), 영등포구청(5), 영등포시장(5), 신길(5), 여의도(5), 여의나루(5), 신풍(7), 대림(7)",11
21,용산구,"서울(4), 숙대입구(4), 삼각지(4), 신용산(4), 이촌(4), 효창공원앞(6), 삼각지(6), 녹사평(6), 이태원(6), 한강진(6)",10
22,은평구,"구파발(3), 연신내(3), 불광(3), 녹번(3), 응암(6), 역촌(6), 불광(6), 독바위(6), 연신내(6), 구산(6), 새절(6), 증산(6), 디지털미디어시티(6)",13
23,종로구,"종각(1), 종로3가(1), 종로5가(1), 동대문(1), 동묘앞(1), 경복궁(3), 안국(3), 종로3가(3), 혜화(4), 동대문(4), 서대문(5), 광화문(5), 종로3가(5), 동묘앞(6), 창신(6)",15
24,중구,"서울(1), 시청(1), 시청(2), 을지로입구(2), 을지로3가(2), 을지로4가(2), 동대문역사문화공원(2), 신당(2), 을지로3가(3), 충무로(3), 동대입구(3), 약수(3), 동대문역사문화공원(4), 충무로(4), 명동(4), 회현(4), 을지로4가(5), 동대문역사문화공원(5), 청구(5), 버티고개(6), 약수(6), 청구(6), 신당(6)",23
25,중랑구,"봉화산(6), 신내(6), 먹골(7), 중화(7), 상봉(7), 면목(7), 사가정(7), 용마산(7)",8
26,고양시,지축(3),1
27,광명시,"철산(7), 광명사거리(7)",2
28,성남시,"남위례(8), 산성(8), 남한산성입구(8), 단대오거리(8), 신흥(8), 수진(8), 모란(8)",7
29,의정부시,장암(7),1
30,하남시,"미사(5), 하남풍산(5), 하남시청(5), 하남검단산(5)",4
